# lambda(micron)      flux(mJy)
# The Calzetti 2000 extinction law is applied to the original SED,
# so that the rest-frame 4400A (B and) flux is 1/100 of the quasar flux.
   0.887156        0.0000000921
   0.887565        0.0000000992
   0.887973        0.0000000814
   0.888383        0.0000001077
   0.888792        0.0000000917
   0.889201        0.0000001137
   0.889611        0.0000000896
   0.890021        0.0000001028
   0.890430        0.0000000847
   0.890841        0.0000000916
   0.891251        0.0000000807
   0.891662        0.0000000872
   0.892072        0.0000000835
   0.892483        0.0000000896
   0.892895        0.0000000931
   0.893306        0.0000000859
   0.893717        0.0000000949
   0.894129        0.0000000936
   0.894541        0.0000000856
   0.894953        0.0000000701
   0.895365        0.0000000856
   0.895778        0.0000000966
   0.896190        0.0000000813
   0.896603        0.0000000811
   0.897016        0.0000000875
   0.897429        0.0000000890
   0.897842        0.0000000775
   0.898256        0.0000000779
   0.898670        0.0000000715
   0.899084        0.0000000872
   0.899498        0.0000000726
   0.899912        0.0000000707
   0.900327        0.0000000850
   0.900741        0.0000000854
   0.901156        0.0000000951
   0.901571        0.0000000766
   0.901987        0.0000000710
   0.902402        0.0000000862
   0.902818        0.0000000825
   0.903233        0.0000000658
   0.903650        0.0000000783
   0.904066        0.0000000761
   0.904482        0.0000000765
   0.904899        0.0000000589
   0.905316        0.0000000847
   0.905733        0.0000000799
   0.906150        0.0000000574
   0.906567        0.0000000696
   0.906985        0.0000000637
   0.907403        0.0000000605
   0.907821        0.0000000759
   0.908239        0.0000000553
   0.908657        0.0000000810
   0.909076        0.0000000677
   0.909495        0.0000000629
   0.909913        0.0000000728
   0.910333        0.0000000698
   0.910752        0.0000000635
   0.911172        0.0000000813
   0.911591        0.0000000621
   0.912011        0.0000000574
   0.912431        0.0000000629
   0.912851        0.0000000771
   0.913272        0.0000000676
   0.913693        0.0000000592
   0.914114        0.0000000590
   0.914534        0.0000000598
   0.914956        0.0000000541
   0.915377        0.0000000635
   0.915799        0.0000000727
   0.916221        0.0000000709
   0.916643        0.0000000571
   0.917065        0.0000000723
   0.917487        0.0000000616
   0.917910        0.0000000559
   0.918333        0.0000000687
   0.918756        0.0000000673
   0.919179        0.0000000545
   0.919603        0.0000000548
   0.920026        0.0000000592
   0.920449        0.0000000555
   0.920874        0.0000000575
   0.921298        0.0000000559
   0.921722        0.0000000500
   0.922147        0.0000000575
   0.922572        0.0000000544
   0.922997        0.0000000496
   0.923421        0.0000000470
   0.923847        0.0000000447
   0.924273        0.0000000533
   0.924698        0.0000000594
   0.925124        0.0000000497
   0.925551        0.0000000556
   0.925977        0.0000000536
   0.926403        0.0000000607
   0.926830        0.0000000525
   0.927257        0.0000000466
   0.927684        0.0000000495
   0.928111        0.0000000550
   0.928539        0.0000000425
   0.928967        0.0000000406
   0.929395        0.0000000469
   0.929822        0.0000000492
   0.930251        0.0000000409
   0.930679        0.0000000359
   0.931108        0.0000000445
   0.931537        0.0000000368
   0.931966        0.0000000522
   0.932396        0.0000000361
   0.932825        0.0000000457
   0.933254        0.0000000413
   0.933684        0.0000000446
   0.934114        0.0000000393
   0.934545        0.0000000446
   0.934975        0.0000000469
   0.935406        0.0000000413
   0.935836        0.0000000447
   0.936268        0.0000000455
   0.936699        0.0000000430
   0.937131        0.0000000355
   0.937562        0.0000000331
   0.937994        0.0000000289
   0.938426        0.0000000436
   0.938858        0.0000000253
   0.939291        0.0000000336
   0.939723        0.0000000344
   0.940156        0.0000000314
   0.940589        0.0000000318
   0.941023        0.0000000340
   0.941456        0.0000000363
   0.941890        0.0000000329
   0.942323        0.0000000298
   0.942758        0.0000000309
   0.943192        0.0000000384
   0.943626        0.0000000375
   0.944061        0.0000000297
   0.944496        0.0000000347
   0.944931        0.0000000365
   0.945366        0.0000000432
   0.945802        0.0000000322
   0.946237        0.0000000364
   0.946673        0.0000000335
   0.947109        0.0000000306
   0.947546        0.0000000354
   0.947982        0.0000000316
   0.948418        0.0000000257
   0.948855        0.0000000324
   0.949293        0.0000000382
   0.949730        0.0000000256
   0.950167        0.0000000533
   0.950605        0.0000000279
   0.951043        0.0000000320
   0.951481        0.0000000362
   0.951919        0.0000000237
   0.952358        0.0000000245
   0.952796        0.0000000304
   0.953235        0.0000000222
   0.953674        0.0000000188
   0.954114        0.0000000229
   0.954553        0.0000000295
   0.954993        0.0000000258
   0.955433        0.0000000202
   0.955873        0.0000000168
   0.956313        0.0000000267
   0.956754        0.0000000338
   0.957194        0.0000000281
   0.957635        0.0000000280
   0.958076        0.0000000152
   0.958517        0.0000000248
   0.958959        0.0000000226
   0.959401        0.0000000316
   0.959843        0.0000000245
   0.960285        0.0000000229
   0.960727        0.0000000252
   0.961169        0.0000000193
   0.961612        0.0000000289
   0.962055        0.0000000304
   0.962499        0.0000000165
   0.962942        0.0000000176
   0.963386        0.0000000212
   0.963829        0.0000000179
   0.964273        0.0000000288
   0.964717        0.0000000353
   0.965162        0.0000000204
   0.965606        0.0000000207
   0.966051        0.0000000209
   0.966496        0.0000000277
   0.966941        0.0000000242
   0.967386        0.0000000180
   0.967832        0.0000000240
   0.968278        0.0000000242
   0.968724        0.0000000196
   0.969170        0.0000000202
   0.969617        0.0000000174
   0.970064        0.0000000153
   0.970510        0.0000000237
   0.970957        0.0000000223
   0.971404        0.0000000137
   0.971852        0.0000000159
   0.972300        0.0000000173
   0.972748        0.0000000205
   0.973196        0.0000000151
   0.973644        0.0000000160
   0.974092        0.0000000131
   0.974541        0.0000000162
   0.974990        0.0000000166
   0.975439        0.0000000087
   0.975888        0.0000000158
   0.976338        0.0000000156
   0.976787        0.0000000134
   0.977237        0.0000000152
   0.977687        0.0000000199
   0.978138        0.0000000212
   0.978588        0.0000000171
   0.979039        0.0000000132
   0.979490        0.0000000086
   0.979941        0.0000000171
   0.980393        0.0000000134
   0.980844        0.0000000165
   0.981296        0.0000000157
   0.981748        0.0000000152
   0.982200        0.0000000074
   0.982653        0.0000000159
   0.983106        0.0000000099
   0.983558        0.0000000167
   0.984011        0.0000000124
   0.984465        0.0000000140
   0.984918        0.0000000123
   0.985372        0.0000000064
   0.985826        0.0000000099
   0.986280        0.0000000092
   0.986734        0.0000000111
   0.987188        0.0000000094
   0.987643        0.0000000138
   0.988098        0.0000000117
   0.988553        0.0000000092
   0.989009        0.0000000134
   0.989464        0.0000000110
   0.989920        0.0000000083
   0.990376        0.0000000076
   0.990832        0.0000000078
   0.991289        0.0000000120
   0.991745        0.0000000115
   0.992202        0.0000000085
   0.992659        0.0000000081
   0.993116        0.0000000094
   0.993573        0.0000000097
   0.994031        0.0000000096
   0.994489        0.0000000115
   0.994947        0.0000000122
   0.995406        0.0000000080
   0.995864        0.0000000138
   0.996323        0.0000000109
   0.996782        0.0000000080
   0.997241        0.0000000066
   0.997700        0.0000000081
   0.998160        0.0000000128
   0.998620        0.0000000115
   0.999080        0.0000000126
   0.999540        0.0000000076
   1.000000        0.0000000060
   1.000461        0.0000000086
   1.000922        0.0000000066
   1.001382        0.0000000074
   1.001844        0.0000000051
   1.002305        0.0000000096
   1.002767        0.0000000077
   1.003229        0.0000000060
   1.003691        0.0000000058
   1.004153        0.0000000049
   1.004615        0.0000000076
   1.005079        0.0000000102
   1.005541        0.0000000030
   1.006005        0.0000000066
   1.006468        0.0000000061
   1.006932        0.0000000087
   1.007396        0.0000000057
   1.007860        0.0000000053
   1.008324        0.0000000094
   1.008788        0.0000000055
   1.009253        0.0000000061
   1.009718        0.0000000057
   1.010183        0.0000000028
   1.010648        0.0000000057
   1.011114        0.0000000073
   1.011580        0.0000000039
   1.012045        0.0000000049
   1.012512        0.0000000061
   1.012978        0.0000000053
   1.013445        0.0000000069
   1.013911        0.0000000042
   1.014379        0.0000000053
   1.014846        0.0000000055
   1.015313        0.0000000032
   1.015781        0.0000000037
   1.016249        0.0000000029
   1.016717        0.0000000054
   1.017185        0.0000000057
   1.017654        0.0000000041
   1.018123        0.0000000090
   1.018591        0.0000000048
   1.019061        0.0000000053
   1.019530        0.0000000069
   1.020000        0.0000000048
   1.020470        0.0000000048
   1.020940        0.0000000048
   1.021410        0.0000000026
   1.021880        0.0000000043
   1.022351        0.0000000049
   1.022822        0.0000000066
   1.023293        0.0000000035
   1.023764        0.0000000039
   1.024237        0.0000000061
   1.024708        0.0000000052
   1.025179        0.0000000036
   1.025652        0.0000000018
   1.026124        0.0000000019
   1.026597        0.0000000041
   1.027070        0.0000000029
   1.027544        0.0000000030
   1.028016        0.0000000036
   1.028489        0.0000000036
   1.028964        0.0000000034
   1.029437        0.0000000028
   1.029912        0.0000000024
   1.030386        0.0000000023
   1.030861        0.0000000035
   1.031336        0.0000000050
   1.031810        0.0000000031
   1.032286        0.0000000036
   1.032761        0.0000000035
   1.033238        0.0000000017
   1.033713        0.0000073747
   1.034190        0.0000233889
   1.034666        0.0000239015
   1.035142        0.0000241898
   1.035619        0.0000244240
   1.036096        0.0000246285
   1.036574        0.0000248131
   1.037051        0.0000249819
   1.037529        0.0000251382
   1.038006        0.0000252842
   1.038484        0.0000254216
   1.038963        0.0000255516
   1.039441        0.0000256749
   1.039921        0.0000257927
   1.040399        0.0000259049
   1.040879        0.0000260127
   1.041358        0.0000261162
   1.041838        0.0000262161
   1.042318        0.0000263108
   1.042797        0.0000263954
   1.043278        0.0000264774
   1.043758        0.0000265567
   1.044240        0.0000266339
   1.044720        0.0000267108
   1.045202        0.0000267925
   1.045683        0.0000268725
   1.046164        0.0000269509
   1.046647        0.0000270279
   1.047128        0.0000271035
   1.047611        0.0000271779
   1.048094        0.0000272511
   1.048577        0.0000273234
   1.049059        0.0000273946
   1.049542        0.0000274650
   1.050026        0.0000275348
   1.050509        0.0000276037
   1.050994        0.0000276721
   1.051478        0.0000277397
   1.051963        0.0000278067
   1.052447        0.0000278726
   1.052931        0.0000279380
   1.053417        0.0000280030
   1.053901        0.0000280675
   1.054387        0.0000281293
   1.054873        0.0000281839
   1.055359        0.0000282383
   1.055845        0.0000282922
   1.056331        0.0000283457
   1.056818        0.0000284004
   1.057304        0.0000284619
   1.057792        0.0000285232
   1.058279        0.0000285841
   1.058767        0.0000286450
   1.059254        0.0000287054
   1.059741        0.0000287658
   1.060230        0.0000288262
   1.060718        0.0000288862
   1.061207        0.0000289461
   1.061696        0.0000290057
   1.062185        0.0000290648
   1.062674        0.0000291236
   1.063163        0.0000291822
   1.063653        0.0000292409
   1.064143        0.0000292965
   1.064634        0.0000293453
   1.065124        0.0000293940
   1.065615        0.0000294426
   1.066105        0.0000294910
   1.066596        0.0000295416
   1.067088        0.0000295994
   1.067579        0.0000296569
   1.068071        0.0000297144
   1.068563        0.0000297718
   1.069056        0.0000298291
   1.069547        0.0000298861
   1.070040        0.0000299431
   1.070533        0.0000300001
   1.071026        0.0000300569
   1.071520        0.0000301138
   1.072013        0.0000301703
   1.072507        0.0000302269
   1.073001        0.0000302833
   1.073495        0.0000303397
   1.073990        0.0000303961
   1.074484        0.0000304522
   1.074980        0.0000305084
   1.075474        0.0000305644
   1.075970        0.0000306205
   1.076465        0.0000306764
   1.076961        0.0000307322
   1.077457        0.0000307880
   1.077953        0.0000308436
   1.078450        0.0000308994
   1.078947        0.0000309531
   1.079444        0.0000309982
   1.079941        0.0000310431
   1.080438        0.0000310880
   1.080936        0.0000311329
   1.081434        0.0000311798
   1.081933        0.0000312349
   1.082430        0.0000312899
   1.082930        0.0000313450
   1.083428        0.0000314000
   1.083927        0.0000314549
   1.084426        0.0000315098
   1.084925        0.0000315645
   1.085426        0.0000316194
   1.085925        0.0000316741
   1.086426        0.0000317290
   1.086926        0.0000317838
   1.087427        0.0000318388
   1.087928        0.0000318937
   1.088428        0.0000319485
   1.088930        0.0000320034
   1.089432        0.0000320577
   1.089934        0.0000321121
   1.090436        0.0000321664
   1.090939        0.0000322208
   1.091441        0.0000322726
   1.091943        0.0000323163
   1.092446        0.0000323601
   1.092949        0.0000324037
   1.093453        0.0000324475
   1.093956        0.0000324925
   1.094461        0.0000325464
   1.094965        0.0000326002
   1.095468        0.0000326539
   1.095974        0.0000327079
   1.096478        0.0000327617
   1.096984        0.0000328158
   1.097489        0.0000328697
   1.097995        0.0000329238
   1.098500        0.0000329778
   1.099006        0.0000330317
   1.099512        0.0000330852
   1.100018        0.0000331386
   1.100526        0.0000331922
   1.101032        0.0000333667
   1.101540        0.0000334193
   1.102047        0.0000334720
   1.102554        0.0000335246
   1.103063        0.0000335775
   1.103570        0.0000336302
   1.104079        0.0000336804
   1.104587        0.0000337215
   1.105097        0.0000337627
   1.105605        0.0000338038
   1.106114        0.0000338449
   1.106624        0.0000338882
   1.107133        0.0000339405
   1.107644        0.0000339930
   1.108154        0.0000340454
   1.108665        0.0000340979
   1.109175        0.0000341503
   1.109685        0.0000342026
   1.110197        0.0000342550
   1.110708        0.0000343073
   1.111220        0.0000343597
   1.111732        0.0000344120
   1.112244        0.0000344643
   1.112756        0.0000345164
   1.113268        0.0000345686
   1.113782        0.0000346209
   1.114294        0.0000346731
   1.114808        0.0000347253
   1.115321        0.0000347773
   1.115836        0.0000348295
   1.116349        0.0000348817
   1.116864        0.0000349339
   1.117378        0.0000349858
   1.117892        0.0000350377
   1.118408        0.0000350898
   1.118922        0.0000351418
   1.119439        0.0000351915
   1.119954        0.0000352310
   1.120470        0.0000352707
   1.120986        0.0000353102
   1.121502        0.0000353498
   1.122019        0.0000353922
   1.122535        0.0000354438
   1.123053        0.0000354956
   1.123570        0.0000355472
   1.124088        0.0000355990
   1.124605        0.0000356507
   1.125123        0.0000357026
   1.125642        0.0000357547
   1.126160        0.0000358066
   1.126679        0.0000358587
   1.127198        0.0000359106
   1.127717        0.0000359621
   1.128236        0.0000360134
   1.128756        0.0000360648
   1.129276        0.0000361164
   1.129796        0.0000361679
   1.130317        0.0000362197
   1.130837        0.0000362714
   1.131359        0.0000363232
   1.131879        0.0000363749
   1.132400        0.0000364266
   1.132922        0.0000364778
   1.133444        0.0000365290
   1.133966        0.0000365803
   1.134488        0.0000366315
   1.135012        0.0000366797
   1.135534        0.0000367184
   1.136056        0.0000367571
   1.136580        0.0000367959
   1.137103        0.0000368346
   1.137628        0.0000368758
   1.138151        0.0000369270
   1.138676        0.0000369784
   1.139200        0.0000370296
   1.139724        0.0000370809
   1.140250        0.0000371322
   1.140775        0.0000371828
   1.141301        0.0000372336
   1.141826        0.0000372843
   1.142353        0.0000373351
   1.142879        0.0000373859
   1.143404        0.0000374368
   1.143932        0.0000374879
   1.144458        0.0000375389
   1.144986        0.0000375900
   1.145513        0.0000376410
   1.146041        0.0000376919
   1.146569        0.0000377428
   1.147096        0.0000377936
   1.147625        0.0000378446
   1.148154        0.0000378955
   1.148683        0.0000379463
   1.149212        0.0000379970
   1.149742        0.0000380479
   1.150271        0.0000380986
   1.150800        0.0000381463
   1.151331        0.0000381833
   1.151861        0.0000382203
   1.152392        0.0000382574
   1.152922        0.0000382944
   1.153454        0.0000383347
   1.153985        0.0000383850
   1.154516        0.0000384354
   1.155048        0.0000384858
   1.155580        0.0000385362
   1.156113        0.0000385867
   1.156645        0.0000386368
   1.157178        0.0000386872
   1.157711        0.0000387374
   1.158243        0.0000387876
   1.158778        0.0000388381
   1.159311        0.0000388886
   1.159846        0.0000389392
   1.160379        0.0000389897
   1.160915        0.0000390404
   1.161449        0.0000390908
   1.161983        0.0000391407
   1.162519        0.0000391908
   1.163054        0.0000392407
   1.163591        0.0000392908
   1.164126        0.0000393407
   1.164663        0.0000393906
   1.165199        0.0000394404
   1.165735        0.0000394902
   1.166273        0.0000395402
   1.166809        0.0000395901
   1.167348        0.0000396403
   1.167885        0.0000396904
   1.168423        0.0000397406
   1.168961        0.0000397907
   1.169500        0.0000398379
   1.170038        0.0000398736
   1.170577        0.0000399094
   1.171117        0.0000399453
   1.171656        0.0000399811
   1.172196        0.0000400190
   1.172735        0.0000400683
   1.173276        0.0000401176
   1.173816        0.0000401669
   1.174356        0.0000402162
   1.174898        0.0000402657
   1.175439        0.0000403152
   1.175981        0.0000403649
   1.176522        0.0000404145
   1.177065        0.0000404642
   1.177606        0.0000405138
   1.178148        0.0000405632
   1.178692        0.0000406127
   1.179234        0.0000406622
   1.179778        0.0000407117
   1.180321        0.0000407612
   1.180865        0.0000408106
   1.181409        0.0000408598
   1.181952        0.0000409091
   1.182497        0.0000409586
   1.183041        0.0000410078
   1.183587        0.0000410566
   1.184132        0.0000411052
   1.184678        0.0000411540
   1.185223        0.0000412027
   1.185768        0.0000412516
   1.186315        0.0000413012
   1.186861        0.0000413506
   1.187409        0.0000414002
   1.187955        0.0000414497
   1.188503        0.0000414971
   1.189050        0.0000415307
   1.189597        0.0000415643
   1.190146        0.0000415980
   1.190693        0.0000416317
   1.191243        0.0000416677
   1.191791        0.0000417163
   1.192340        0.0000417650
   1.192889        0.0000418136
   1.193438        0.0000418622
   1.193988        0.0000419109
   1.194538        0.0000419593
   1.195089        0.0000420079
   1.195639        0.0000420563
   1.196190        0.0000421049
   1.196741        0.0000421533
   1.197291        0.0000422016
   1.197844        0.0000422500
   1.198395        0.0000422983
   1.198948        0.0000423468
   1.199499        0.0000423952
   1.200052        0.0000424439
   1.200605        0.0000424925
   1.201159        0.0000425412
   1.201711        0.0000425899
   1.202264        0.0000426384
   1.202819        0.0000426865
   1.203372        0.0000427345
   1.203927        0.0000427826
   1.204481        0.0000428306
   1.205037        0.0000428788
   1.205591        0.0000429271
   1.206146        0.0000429754
   1.206702        0.0000430239
   1.207258        0.0000430722
   1.207815        0.0000431180
   1.208370        0.0000431494
   1.208928        0.0000431808
   1.209484        0.0000432122
   1.210040        0.0000432436
   1.210599        0.0000432792
   1.211156        0.0000433271
   1.211714        0.0000433751
   1.212272        0.0000434230
   1.212831        0.0000434711
   1.213389        0.0000435190
   1.213947        0.0000435668
   1.214507        0.0000436146
   1.215066        0.0000436624
   1.215627        0.0000437103
   1.216186        0.0000437580
   1.216747        0.0000438052
   1.217307        0.0000438523
   1.217867        0.0000438994
   1.218429        0.0000439466
   1.218989        0.0000439939
   1.219552        0.0000440414
   1.220113        0.0000440888
   1.220676        0.0000441364
   1.221237        0.0000441839
   1.221799        0.0000442314
   1.222363        0.0000442788
   1.222925        0.0000443261
   1.223489        0.0000443735
   1.224052        0.0000444208
   1.224617        0.0000444682
   1.225181        0.0000445154
   1.225744        0.0000445625
   1.226310        0.0000446098
   1.226874        0.0000446570
   1.227440        0.0000447044
   1.228005        0.0000447518
   1.228571        0.0000447994
   1.229136        0.0000448470
   1.229702        0.0000448945
   1.230269        0.0000449396
   1.230835        0.0000449693
   1.231403        0.0000449992
   1.231970        0.0000450290
   1.232538        0.0000450589
   1.233105        0.0000450916
   1.233672        0.0000451382
   1.234241        0.0000451848
   1.234809        0.0000452314
   1.235379        0.0000452781
   1.235947        0.0000453247
   1.236518        0.0000453712
   1.237087        0.0000454176
   1.237656        0.0000454641
   1.238227        0.0000455106
   1.238796        0.0000455572
   1.239368        0.0000456040
   1.239938        0.0000456508
   1.240510        0.0000456977
   1.241081        0.0000457445
   1.241652        0.0000457912
   1.242225        0.0000458374
   1.242796        0.0000458835
   1.243369        0.0000459297
   1.243942        0.0000459759
   1.244515        0.0000460222
   1.245088        0.0000460687
   1.245661        0.0000461151
   1.246235        0.0000461618
   1.246809        0.0000462083
   1.247384        0.0000462549
   1.247958        0.0000463012
   1.248534        0.0000463476
   1.249108        0.0000463939
   1.249683        0.0000464403
   1.250259        0.0000464866
   1.250835        0.0000465322
   1.251412        0.0000465780
   1.251987        0.0000466237
   1.252565        0.0000466694
   1.253141        0.0000467105
   1.253719        0.0000467387
   1.254296        0.0000467669
   1.254873        0.0000467951
   1.255452        0.0000468234
   1.256030        0.0000468558
   1.256609        0.0000469017
   1.257187        0.0000469474
   1.257767        0.0000469933
   1.258346        0.0000470391
   1.258925        0.0000470848
   1.259506        0.0000471305
   1.260085        0.0000471761
   1.260667        0.0000472218
   1.261247        0.0000472674
   1.261828        0.0000473131
   1.262409        0.0000473586
   1.262990        0.0000474040
   1.263573        0.0000474496
   1.264154        0.0000474950
   1.264737        0.0000475406
   1.265319        0.0000475859
   1.265903        0.0000476313
   1.266485        0.0000476766
   1.267068        0.0000477219
   1.267652        0.0000477674
   1.268236        0.0000478131
   1.268821        0.0000478588
   1.269404        0.0000479045
   1.269990        0.0000479503
   1.270574        0.0000479960
   1.271159        0.0000480409
   1.271745        0.0000480860
   1.272331        0.0000481310
   1.272917        0.0000481761
   1.273503        0.0000482211
   1.274091        0.0000482661
   1.274677        0.0000483109
   1.275263        0.0000483558
   1.275851        0.0000484007
   1.276439        0.0000484414
   1.277027        0.0000484681
   1.277615        0.0000484947
   1.278204        0.0000485214
   1.278793        0.0000485480
   1.279381        0.0000485773
   1.279971        0.0000486218
   1.280560        0.0000486662
   1.281151        0.0000487107
   1.281740        0.0000487552
   1.282331        0.0000487998
   1.282921        0.0000488446
   1.283512        0.0000488894
   1.284104        0.0000489343
   1.284695        0.0000489792
   1.285287        0.0000490240
   1.285879        0.0000490681
   1.286472        0.0000491123
   1.287064        0.0000491564
   1.287656        0.0000492005
   1.288250        0.0000492449
   1.288843        0.0000492894
   1.289437        0.0000493340
   1.290030        0.0000493785
   1.290626        0.0000494232
   1.291219        0.0000494677
   1.291815        0.0000495121
   1.292409        0.0000495565
   1.293004        0.0000496009
   1.293601        0.0000496454
   1.294196        0.0000496897
   1.294793        0.0000497340
   1.295389        0.0000497783
   1.295986        0.0000498226
   1.296582        0.0000498669
